purchase_id,item_id,supplier_id,purchase_date,quantity,total_cost
PUR00090,ITM0338,SUP014,2023-08-04 18:00:55.935284,163,149751.09
PUR00091,ITM0072,SUP009,2024-04-15 01:14:45.133621,13,19219.24
PUR00092,ITM0518,SUP056,2021-11-03 14:59:28.837928,127,32574.38
PUR00093,ITM0445,SUP015,2021-12-14 16:52:24.873244,246,347362.91
PUR00094,ITM0478,SUP038,2024-03-30 13:21:02.179085,256,124260.9
PUR00095,ITM0456,SUP025,2024-12-08 05:10:18.362811,171,216569.69
PUR00096,ITM0119,SUP020,2023-10-08 23:55:50.267597,209,41965.74
PUR00097,ITM0448,SUP043,2020-12-12 00:19:05.295143,250,675716.53
PUR00098,ITM0367,SUP022,2022-08-03 08:38:17.837089,59,45860.95
PUR00099,ITM0368,SUP007,2022-11-25 15:43:17.733384,268,689814.01
PUR00100,ITM0477,SUP018,2020-09-09 09:32:14.710585,157,258377.58
PUR00101,ITM0581,SUP060,2020-07-15 05:11:26.438732,5,8454.89
PUR00102,ITM0077,SUP017,2024-07-08 23:46:49.579869,43,54913.45
PUR00103,ITM0276,SUP014,2022-12-03 03:03:06.591488,66,160157.37
PUR00104,ITM0092,SUP026,2024-05-02 02:29:37.597007,134,175132.52
PUR00105,ITM0368,SUP040,2023-07-09 04:38:29.009951,213,581385.55
PUR00106,ITM0530,SUP032,2024-01-26 12:52:17.080993,99,255808.54
PUR00107,ITM0493,SUP029,2020-02-15 12:25:18.411412,271,766412.35
PUR00108,ITM0480,SUP040,2022-09-17 11:20:08.456289,146,101929.88
PUR00109,ITM0323,SUP059,2024-10-16 03:41:55.808274,49,127839.39
PUR00110,ITM0547,SUP007,2020-07-06 18:31:54.742703,175,235373.84
PUR00111,ITM0102,SUP057,2024-01-25 22:10:10.868383,2,3095.99
PUR00112,ITM0271,SUP009,2020-11-29 01:27:06.805200,293,642222.79
PUR00113,ITM0307,SUP012,2020-09-12 23:38:07.801398,6,6158.98
PUR00114,ITM0387,SUP003,2022-08-16 09:13:34.183127,243,626358.32
PUR00115,ITM0277,SUP032,2020-03-04 04:37:46.854939,42,14637.47
PUR00116,ITM0259,SUP033,2021-04-11 15:03:12.785453,16,46864.75
PUR00117,ITM0547,SUP015,2020-06-05 12:12:05.911340,204,300261.27
PUR00118,ITM0520,SUP009,2024-06-22 03:50:28.906034,216,258143.4
PUR00119,ITM0432,SUP049,2023-01-28 08:12:53.507607,73,136909.1
PUR00120,ITM0310,SUP044,2022-07-01 12:13:49.384691,67,92529.23
PUR00121,ITM0459,SUP017,2020-03-23 13:47:26.039850,81,164282.58
PUR00122,ITM0386,SUP028,2021-12-15 00:53:12.163239,30,87509.18
PUR00123,ITM0200,SUP045,2020-06-07 02:21:11.708346,27,3530.01
PUR00124,ITM0531,SUP013,2020-06-08 12:01:58.288497,88,118737.9
PUR00125,ITM0402,SUP047,2020-10-15 10:08:36.226734,64,45555.82
PUR00126,ITM0085,SUP021,2021-10-28 20:43:09.293957,295,62747.06
PUR00127,ITM0022,SUP050,2024-03-12 05:11:40.210899,144,197052.99
PUR00128,ITM0235,SUP047,2023-07-21 03:45:09.340120,56,84256.48
PUR00129,ITM0390,SUP050,2022-09-30 13:34:40.110174,267,318871.4
PUR00130,ITM0129,SUP005,2021-12-03 06:14:23.606519,257,369372.27
PUR00131,ITM0393,SUP007,2020-07-25 16:09:54.064801,35,85530.84
PUR00132,ITM0564,SUP038,2022-06-12 02:08:25.793037,84,72762.2
PUR00133,ITM0464,SUP037,2024-03-31 00:37:41.795882,179,50461.73
PUR00134,ITM0541,SUP019,2020-03-11 12:26:31.859150,264,502572.88
PUR00135,ITM0029,SUP041,2022-07-12 08:11:25.752953,71,19387.04
PUR00136,ITM0133,SUP032,2024-08-16 01:35:28.626676,37,107896.34
PUR00137,ITM0534,SUP056,2022-07-14 20:28:13.569636,101,168880.31
PUR00138,ITM0082,SUP043,2020-12-20 13:01:02.191847,133,236193.82
PUR00139,ITM0580,SUP003,2020-11-15 01:49:59.263927,204,546718.97
PUR00140,ITM0552,SUP039,2022-12-05 10:39:20.980522,277,509924.79
PUR00141,ITM0091,SUP035,2020-05-25 00:03:06.700762,5,2100.49
PUR00142,ITM0076,SUP027,2024-03-19 05:10:08.072458,23,49787.13
PUR00143,ITM0235,SUP038,2024-02-28 22:11:53.374584,185,260619.93
PUR00144,ITM0488,SUP051,2023-11-21 07:48:52.621967,65,75828.97
PUR00145,ITM0434,SUP048,2024-05-29 04:55:15.882060,147,63316.15
PUR00146,ITM0429,SUP008,2020-11-22 05:17:13.844682,258,184754.02
PUR00147,ITM0090,SUP051,2023-03-17 22:49:06.618850,25,53638.51
PUR00148,ITM0447,SUP053,2022-04-21 04:21:59.185194,126,400996.71
PUR00149,ITM0577,SUP019,2022-09-21 00:36:34.882638,159,61910.11
PUR00150,ITM0155,SUP030,2021-07-08 21:26:51.653075,44,140381.32
PUR00151,ITM0447,SUP048,2021-11-01 15:13:59.497318,265,717306.4
PUR00152,ITM0139,SUP040,2024-10-20 23:23:49.064809,149,360612.79
PUR00153,ITM0231,SUP010,2020-09-12 11:59:07.207948,182,163315.24
PUR00154,ITM0042,SUP030,2021-03-03 15:32:20.871380,199,420877.96
PUR00155,ITM0236,SUP009,2023-10-21 14:45:45.112219,141,117923.81
PUR00156,ITM0469,SUP048,2023-01-04 17:15:07.651351,212,249772.0
PUR00157,ITM0598,SUP022,2024-10-26 23:07:10.262591,141,239004.81
PUR00158,ITM0348,SUP031,2022-08-13 15:10:49.825013,284,783270.07
PUR00159,ITM0198,SUP046,2021-10-09 14:04:39.347863,89,130088.98
PUR00160,ITM0345,SUP010,2023-02-09 04:14:48.597911,174,55308.29
PUR00161,ITM0062,SUP036,2022-12-02 03:47:11.989868,176,279584.41
PUR00162,ITM0388,SUP010,2022-09-01 18:49:12.998540,236,160676.53
PUR00163,ITM0034,SUP052,2023-08-31 22:43:14.840426,225,138085.11
PUR00164,ITM0282,SUP053,2023-08-30 13:28:57.124008,54,114713.03
PUR00165,ITM0231,SUP060,2024-08-16 08:28:44.905873,155,125041.53
PUR00166,ITM0373,SUP027,2020-11-20 22:09:58.890359,93,65329.32
PUR00167,ITM0411,SUP015,2020-04-15 18:35:38.035064,95,190178.49
PUR00168,ITM0213,SUP019,2021-10-12 05:33:09.210238,18,19902.42
PUR00169,ITM0277,SUP011,2023-12-20 18:39:31.467227,152,45530.0
PUR00170,ITM0566,SUP032,2021-05-04 15:40:06.395737,125,106715.05
PUR00171,ITM0221,SUP020,2024-09-11 01:57:18.958786,175,183591.31
PUR00172,ITM0575,SUP046,2023-12-27 06:38:51.739305,221,363019.83
PUR00173,ITM0554,SUP060,2024-07-15 23:36:37.448196,37,77235.02
PUR00174,ITM0110,SUP015,2020-01-27 08:26:11.445748,158,177647.15
PUR00175,ITM0197,SUP004,2020-12-10 01:48:39.216102,143,284836.38
PUR00176,ITM0384,SUP017,2020-06-21 12:06:19.489128,232,115271.08
PUR00177,ITM0453,SUP001,2023-12-19 03:11:47.666942,47,51103.63
PUR00178,ITM0452,SUP057,2024-02-20 16:54:00.981560,205,230171.12
PUR00179,ITM0107,SUP019,2022-06-02 20:55:17.609641,271,612356.55
PUR00180,ITM0005,SUP005,2023-08-07 15:28:34.421807,182,556289.77
PUR00181,ITM0144,SUP018,2021-03-09 02:29:59.013547,197,417267.27
PUR00182,ITM0137,SUP017,2021-09-24 04:22:56.853381,298,446147.87
PUR00183,ITM0441,SUP055,2023-09-21 11:22:31.870502,119,28354.74
PUR00184,ITM0166,SUP042,2022-09-12 10:22:22.953429,62,32598.82
PUR00185,ITM0065,SUP041,2022-04-09 06:54:45.977845,281,703399.41
PUR00186,ITM0415,SUP004,2023-02-16 11:08:47.649674,12,10622.56
PUR00187,ITM0439,SUP052,2021-09-23 23:02:18.804550,265,324415.74
PUR00188,ITM0380,SUP019,2020-08-29 14:46:46.675121,125,130489.53
PUR00189,ITM0128,SUP031,2024-06-10 00:57:12.750284,293,339382.12
PUR00190,ITM0197,SUP003,2023-09-04 07:46:44.541380,137,276060.78
PUR00191,ITM0594,SUP050,2023-08-07 21:02:52.486511,197,421145.44
PUR00192,ITM0496,SUP003,2021-09-29 11:26:48.690667,183,252080.93
PUR00193,ITM0596,SUP029,2021-01-04 16:41:17.189108,95,286843.6
PUR00194,ITM0502,SUP053,2022-02-04 03:33:45.297927,236,336914.66
PUR00195,ITM0152,SUP008,2022-12-06 17:13:22.003729,101,195801.9
PUR00196,ITM0028,SUP056,2022-07-31 00:27:12.064552,7,4309.86
PUR00197,ITM0060,SUP005,2022-08-11 17:34:11.927405,125,14401.88
PUR00198,ITM0094,SUP031,2024-06-15 17:14:02.599639,209,537501.98
PUR00199,ITM0114,SUP027,2022-10-01 02:03:28.693897,203,389997.57
PUR00200,ITM0124,SUP033,2023-05-12 00:35:37.334822,165,330999.84
PUR00201,ITM0551,SUP058,2024-04-17 07:41:07.426860,292,75312.25
PUR00202,ITM0257,SUP018,2024-03-13 23:39:25.720245,1,269.34
PUR00203,ITM0013,SUP024,2023-06-25 07:02:42.949512,129,344950.66
PUR00204,ITM0194,SUP026,2024-04-17 15:52:16.037992,206,39620.67
PUR00205,ITM0554,SUP031,2020-01-31 01:11:50.523899,297,635967.91
PUR00206,ITM0185,SUP014,2022-03-27 04:59:40.283244,41,92722.34
PUR00207,ITM0035,SUP025,2024-02-28 18:08:45.475774,93,281379.48
PUR00208,ITM0549,SUP032,2020-03-12 08:54:58.617319,104,158469.98
PUR00209,ITM0075,SUP059,2024-11-20 21:38:33.393934,241,276121.91
PUR00210,ITM0250,SUP039,2023-02-17 21:22:43.728598,260,359112.0
PUR00211,ITM0020,SUP041,2022-02-03 22:06:46.521663,170,503366.17
PUR00212,ITM0247,SUP060,2021-02-09 03:00:59.213170,258,227730.62
PUR00213,ITM0439,SUP057,2020-06-29 02:50:35.010345,250,314639.12
PUR00214,ITM0434,SUP014,2023-09-14 05:24:27.260997,30,12792.0
PUR00215,ITM0166,SUP048,2023-02-27 05:53:23.355169,82,37180.46
PUR00216,ITM0303,SUP048,2022-05-13 01:58:38.034375,286,267194.67
PUR00217,ITM0349,SUP027,2023-07-03 20:44:38.862859,257,335353.26
PUR00218,ITM0128,SUP022,2022-06-27 13:52:10.095832,23,24013.95
PUR00219,ITM0349,SUP038,2021-11-27 17:08:46.699143,232,288255.74
PUR00220,ITM0236,SUP007,2021-05-22 09:42:52.282305,253,207228.73
PUR00221,ITM0374,SUP033,2023-02-07 06:36:04.805869,63,145547.88
PUR00222,ITM0233,SUP043,2023-04-25 16:32:44.652995,44,95814.6
PUR00223,ITM0594,SUP041,2020-09-23 20:10:50.843383,51,100332.24
PUR00224,ITM0064,SUP033,2022-11-18 20:05:45.086586,190,98351.44
PUR00225,ITM0006,SUP024,2020-12-23 23:08:39.279617,240,568698.95
PUR00226,ITM0204,SUP026,2020-03-01 04:21:11.812415,207,456414.23
PUR00227,ITM0508,SUP050,2024-08-10 20:42:26.404421,41,120276.29
PUR00228,ITM0599,SUP042,2024-02-16 06:48:06.628055,155,224546.94
PUR00229,ITM0157,SUP031,2020-10-23 15:35:46.915057,98,188029.51
PUR00230,ITM0387,SUP027,2020-12-14 19:32:34.195266,57,146033.43
PUR00231,ITM0220,SUP013,2022-09-30 03:12:19.398829,170,254648.44
PUR00232,ITM0210,SUP031,2021-03-22 05:53:10.773471,268,695467.36
PUR00233,ITM0108,SUP032,2023-11-13 00:25:27.033414,60,120058.61
PUR00234,ITM0509,SUP023,2020-03-12 13:18:33.400720,64,40971.34
PUR00235,ITM0148,SUP037,2022-11-14 05:25:14.076016,260,115322.75
PUR00236,ITM0058,SUP040,2024-08-20 23:26:01.676373,190,16593.34
PUR00237,ITM0244,SUP045,2022-09-15 10:42:34.462272,61,40023.25
PUR00238,ITM0057,SUP059,2022-02-04 16:28:47.234495,244,345784.03
PUR00239,ITM0071,SUP058,2021-06-28 22:30:15.477835,177,13081.4
PUR00240,ITM0497,SUP016,2020-03-08 16:25:24.660980,159,451954.87
PUR00241,ITM0260,SUP039,2024-10-19 10:45:31.324429,42,81943.85
PUR00242,ITM0554,SUP008,2024-05-21 19:54:41.136717,20,37668.07
PUR00243,ITM0358,SUP018,2020-09-09 13:34:48.863168,112,59080.1
PUR00244,ITM0034,SUP058,2024-07-05 18:31:51.795113,212,126335.09
PUR00245,ITM0484,SUP027,2021-01-20 19:29:33.122500,96,181898.73
PUR00246,ITM0353,SUP009,2022-02-24 17:02:24.904789,20,44738.57
PUR00247,ITM0429,SUP028,2023-07-23 18:19:10.762162,16,11328.89
PUR00248,ITM0142,SUP022,2023-08-08 09:49:35.817833,57,69747.55
PUR00249,ITM0436,SUP011,2020-08-02 15:08:11.856181,275,313409.43
PUR00250,ITM0254,SUP054,2021-11-09 16:05:00.939112,223,69743.15
PUR00251,ITM0316,SUP022,2020-11-12 15:59:03.529707,13,8921.88
PUR00252,ITM0298,SUP049,2022-10-23 19:48:55.561010,247,374162.25
PUR00253,ITM0167,SUP014,2020-11-26 18:38:48.103583,20,53314.96
PUR00254,ITM0351,SUP023,2022-12-11 03:42:23.176484,239,755862.05
PUR00255,ITM0042,SUP002,2021-03-24 10:55:17.482433,35,76035.05
PUR00256,ITM0402,SUP015,2020-10-22 15:01:27.711941,169,106564.58
PUR00257,ITM0391,SUP050,2024-01-22 08:17:53.935317,280,297282.06
PUR00258,ITM0388,SUP005,2022-12-31 09:56:59.352619,201,122411.3
PUR00259,ITM0096,SUP029,2020-06-22 20:37:34.420338,159,16273.54
PUR00260,ITM0458,SUP054,2023-01-01 21:11:03.668890,98,236256.82
PUR00261,ITM0178,SUP033,2020-05-23 13:04:11.624286,11,953.43
PUR00262,ITM0287,SUP048,2024-06-08 05:57:58.241557,73,95206.16
PUR00263,ITM0479,SUP044,2021-11-01 21:28:52.960039,214,33723.8
PUR00264,ITM0558,SUP030,2021-06-16 08:28:01.368845,40,12688.53
PUR00265,ITM0438,SUP046,2020-06-12 19:28:09.408869,208,502764.72
PUR00266,ITM0558,SUP017,2021-01-30 03:42:27.992334,74,22235.28
PUR00267,ITM0225,SUP001,2022-07-28 13:20:15.197918,34,86467.92
PUR00268,ITM0005,SUP014,2021-11-04 22:09:57.825364,62,177920.88
PUR00269,ITM0110,SUP047,2020-05-03 03:42:18.866863,79,86544.61
PUR00270,ITM0243,SUP055,2023-03-30 06:32:55.688948,173,426276.36
PUR00271,ITM0151,SUP044,2020-02-26 08:51:48.451501,95,85889.93
PUR00272,ITM0519,SUP017,2020-05-26 11:51:46.607527,5,14595.62
PUR00273,ITM0314,SUP009,2024-08-16 15:20:59.759597,58,74728.7
PUR00274,ITM0277,SUP035,2021-08-30 15:28:48.175846,123,43590.05
PUR00275,ITM0159,SUP031,2023-02-22 18:08:04.230918,93,26909.83
PUR00276,ITM0155,SUP012,2023-08-25 23:14:29.527204,3,9014.0
PUR00277,ITM0394,SUP058,2023-09-13 21:33:33.022294,23,1723.38
PUR00278,ITM0072,SUP045,2020-07-15 14:23:27.641977,266,390434.38
PUR00279,ITM0562,SUP002,2023-12-28 08:47:44.136002,288,373637.81
PUR00280,ITM0101,SUP054,2024-01-10 05:24:06.616304,48,27429.46
PUR00281,ITM0168,SUP015,2023-12-13 00:05:40.986625,253,404040.26
PUR00282,ITM0578,SUP034,2021-06-30 09:59:25.269540,36,2536.66
PUR00283,ITM0242,SUP037,2023-12-18 18:50:24.816755,88,44160.34
PUR00284,ITM0116,SUP053,2023-08-10 04:51:15.901933,20,37629.69
PUR00285,ITM0272,SUP041,2020-09-07 16:48:58.223312,131,168321.51
PUR00286,ITM0305,SUP060,2022-11-16 23:08:21.738814,197,212225.1
PUR00287,ITM0038,SUP030,2021-05-10 19:10:42.731359,251,129039.38
PUR00288,ITM0526,SUP014,2024-09-10 20:29:31.331185,198,174101.62
PUR00289,ITM0085,SUP045,2023-09-06 23:42:06.411885,23,4739.96
PUR00290,ITM0244,SUP004,2020-08-13 08:18:31.906245,188,110611.32
PUR00291,ITM0149,SUP008,2024-06-20 05:19:41.208215,286,111467.86
PUR00292,ITM0319,SUP023,2024-04-23 23:43:03.389847,167,235115.21
PUR00293,ITM0298,SUP007,2024-02-14 15:45:56.814147,168,291870.25
PUR00294,ITM0071,SUP017,2021-11-19 00:28:41.121869,48,4101.07
PUR00295,ITM0597,SUP022,2022-10-24 05:44:04.423521,213,60758.95
PUR00296,ITM0277,SUP038,2022-03-16 12:21:06.296043,37,11896.98
PUR00297,ITM0113,SUP026,2024-01-26 23:20:35.665895,52,67976.31
PUR00298,ITM0575,SUP008,2022-04-20 00:31:34.015161,258,399852.14
PUR00299,ITM0089,SUP022,2022-03-06 04:27:49.701719,14,30498.44
PUR00300,ITM0077,SUP040,2023-05-19 23:07:39.184456,18,22448.76
PUR00301,ITM0119,SUP045,2020-08-08 22:07:04.166119,114,24443.64
PUR00302,ITM0283,SUP022,2024-02-11 11:57:14.049706,178,266167.61
PUR00303,ITM0229,SUP040,2022-10-27 06:35:14.705116,271,309343.42
PUR00304,ITM0136,SUP005,2024-03-13 18:58:33.311933,293,791379.4
PUR00305,ITM0414,SUP009,2023-11-27 18:46:06.108906,119,43877.3
PUR00306,ITM0123,SUP060,2024-12-08 20:47:08.466136,69,19833.36
PUR00307,ITM0030,SUP020,2021-06-21 21:41:35.855998,32,66059.59
PUR00308,ITM0018,SUP022,2023-02-26 15:40:54.696478,236,525587.22
PUR00309,ITM0023,SUP059,2022-11-19 08:05:16.124558,241,135223.11
PUR00310,ITM0038,SUP034,2021-06-24 20:47:43.419817,246,139802.94
PUR00311,ITM0248,SUP035,2020-03-17 19:30:21.512877,261,814472.94
PUR00312,ITM0361,SUP036,2020-09-19 20:49:17.499606,146,119339.02
PUR00313,ITM0542,SUP019,2020-09-07 15:11:25.308339,296,569780.17
PUR00314,ITM0119,SUP028,2024-04-28 15:20:00.827425,68,14796.57
PUR00315,ITM0460,SUP007,2023-06-05 13:54:15.102456,56,161046.11
PUR00316,ITM0074,SUP041,2023-01-25 01:05:27.484411,145,341997.1
PUR00317,ITM0583,SUP038,2024-09-05 20:58:49.751266,52,63631.64
PUR00318,ITM0273,SUP003,2023-11-20 13:46:59.860143,125,315687.34
PUR00319,ITM0480,SUP032,2022-06-20 22:11:46.669930,274,191909.06
PUR00320,ITM0325,SUP046,2020-02-24 04:48:15.808359,128,134456.21
PUR00321,ITM0362,SUP045,2022-07-18 01:43:44.723988,25,70730.57
PUR00322,ITM0141,SUP031,2024-06-05 03:23:39.693003,61,112108.69
PUR00323,ITM0007,SUP045,2022-04-15 10:41:00.287942,128,145661.2
PUR00324,ITM0501,SUP025,2021-03-21 14:49:19.523885,159,318083.29
PUR00325,ITM0068,SUP033,2020-04-29 14:06:03.018033,251,565393.82
PUR00326,ITM0467,SUP047,2021-04-23 07:47:46.404815,288,64037.43
PUR00327,ITM0430,SUP005,2021-07-09 07:11:11.315710,152,421860.63
PUR00328,ITM0547,SUP029,2022-09-06 14:56:08.447030,92,126131.12
PUR00329,ITM0029,SUP059,2023-07-03 09:09:11.198048,203,51495.61
PUR00330,ITM0356,SUP059,2022-01-24 19:15:41.075819,200,544638.02
PUR00331,ITM0034,SUP031,2024-10-09 14:01:58.881838,193,117894.68
PUR00332,ITM0260,SUP026,2021-10-13 16:11:52.720695,124,218457.35
PUR00333,ITM0313,SUP058,2022-05-15 23:48:32.531665,116,250203.73
PUR00334,ITM0341,SUP021,2022-04-03 12:27:03.808196,170,121945.28
PUR00335,ITM0450,SUP034,2022-04-27 03:05:57.070604,127,374669.75
PUR00336,ITM0404,SUP037,2023-10-19 12:11:47.221567,53,129909.73
PUR00337,ITM0006,SUP049,2020-12-24 21:24:52.085917,170,426146.78
PUR00338,ITM0541,SUP001,2020-05-11 22:08:47.288584,244,428589.56
PUR00339,ITM0336,SUP059,2023-09-06 03:12:46.234996,284,326800.57
PUR00340,ITM0393,SUP004,2022-08-20 12:35:35.040858,61,160322.52
PUR00341,ITM0549,SUP047,2021-12-06 08:07:16.812247,59,86847.35
PUR00342,ITM0482,SUP047,2024-06-09 07:48:42.128552,75,157835.16
PUR00343,ITM0423,SUP022,2021-01-09 11:18:19.626939,213,326240.64
PUR00344,ITM0575,SUP016,2022-03-21 11:51:16.707217,126,186144.31
PUR00345,ITM0239,SUP045,2021-11-24 11:11:52.005751,152,281660.76
PUR00346,ITM0250,SUP046,2024-06-29 09:12:23.112256,65,91351.46
